date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:16:33	958/958	---M--	200	added ('OK')	text/html	etag:%2227c9a3314ebb296d5910ff4250462236%22	https://www.bitcoinbirds.store/	C:/My%20Web%20Sites/btcb/www.bitcoinbirds.store/index.html	(from )
18:16:33	67/67	---M--	200	added ('OK')	text/plain	etag:%22fa1ded1ed7c11438a9b0385b1e112850%22	https://www.bitcoinbirds.store/robots.txt		(from )
18:16:33	119965/119965	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%226ec334148b26f22dfda9643318f23f00%22	https://www.bitcoinbirds.store/favicon.ico	C:/My%20Web%20Sites/btcb/www.bitcoinbirds.store/favicon.ico	(from https://www.bitcoinbirds.store/)
18:16:33	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Mar%202023%2017:16:34%20GMT	https://www.bitcoinbirds.store/logo192.png	C:/My%20Web%20Sites/btcb/www.bitcoinbirds.store/logo192.png	(from https://www.bitcoinbirds.store/)
18:16:34	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22623a082a-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	C:/My%20Web%20Sites/btcb/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://www.bitcoinbirds.store/)
18:16:34	496/496	---M--	200	added ('OK')	application/json	etag:%22c28fad94b258267a296ca43a62f15143%22	https://www.bitcoinbirds.store/manifest.json	C:/My%20Web%20Sites/btcb/www.bitcoinbirds.store/manifest.json	(from https://www.bitcoinbirds.store/)
18:16:34	598866/598866	---MCZ	200	added ('OK')	application/javascript	etag:W/%22acc066ab4c174535b219f922ed815255%22	https://www.bitcoinbirds.store/static/js/main.00010422.js	C:/My%20Web%20Sites/btcb/www.bitcoinbirds.store/static/js/main.00010422.js	(from https://www.bitcoinbirds.store/)
18:16:34	1179/1179	---MCZ	200	added ('OK')	text/css	etag:W/%222df491a83d0819701b670561b682e422%22	https://www.bitcoinbirds.store/static/css/main.edae2b08.css	C:/My%20Web%20Sites/btcb/www.bitcoinbirds.store/static/css/main.edae2b08.css	(from https://www.bitcoinbirds.store/)
18:16:41	51/51	---MCZ	200	added ('OK')	text/plain	date:Sat,%2025%20Mar%202023%2017:16:41%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.bitcoinbirds.store/static/css/main.edae2b08.css)
18:16:41	198/198	---MC-	200	added ('OK')	text/css	date:Sat,%2025%20Mar%202023%2017:16:41%20GMT	https://fonts.googleapis.com/css2?family=Ubuntu&display=swap	C:/My%20Web%20Sites/btcb/fonts.googleapis.com/css2.69036.delayed	(from https://www.bitcoinbirds.store/static/css/main.edae2b08.css)
18:16:43	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2025%20Mar%202023%2017:16:44%20GMT	https://fonts.gstatic.com/robots.txt		(from https://fonts.googleapis.com/css2?family=Ubuntu&display=swap)
18:16:43	280328/280328	---M-Z	200	added ('OK')	font/ttf	date:Wed,%2027%20Apr%202022%2017:00:42%20GMT	https://fonts.gstatic.com/s/ubuntu/v20/4iCs6KVjbNBYlgo6eA.ttf	C:/My%20Web%20Sites/btcb/fonts.gstatic.com/s/ubuntu/v20/4iCs6KVjbNBYlgo6eA.7.delayed	(from https://fonts.googleapis.com/css2?family=Ubuntu&display=swap)
